schema_name,table_name,table_type,column_name,column_position,data_type,is_nullable,column_comment
cashbook,bank_accounts,table,id,1,uuid,NO,Primary key (UUID)
cashbook,bank_accounts,table,bank_name,2,character varying(255),NO,Name of the banking institution
cashbook,bank_accounts,table,branch_code,3,character varying(20),NO,Bank branch/sort code
cashbook,bank_accounts,table,account_number,4,character varying(50),NO,Unique bank account number
cashbook,bank_accounts,table,account_name,5,character varying(255),YES,"Friendly name for the account (e.g. ""Main Operating"")"
cashbook,bank_accounts,table,account_type,6,character varying(30),YES,Account type (default: Current)
cashbook,bank_accounts,table,gl_account_id,7,uuid,YES,Linked General Ledger control account → finance.gl_accounts.id
cashbook,bank_accounts,table,currency,8,character varying(10),NO,ISO 4217 currency code (default: ZAR)
cashbook,bank_accounts,table,opening_balance,9,"numeric(19,2)",YES,"Opening balance at account setup. Precision 19,2"
cashbook,bank_accounts,table,current_balance,10,"numeric(19,2)",YES,"Running current balance. Precision 19,2"
cashbook,bank_accounts,table,is_active,11,boolean,NO,Whether the bank account is active and available for transactions
cashbook,bank_accounts,table,created_at,12,timestamp with time zone,NO,Row creation timestamp. Timestamp with timezone
cashbook,bank_accounts,table,updated_at,13,timestamp with time zone,NO,Last update timestamp. Timestamp with timezone
cashbook,reconciliations,table,id,1,uuid,NO,Primary key (UUID)
cashbook,reconciliations,table,bank_account_id,2,uuid,NO,Bank account being reconciled → cashbook.bank_accounts.id
cashbook,reconciliations,table,reconciliation_date,3,date,NO,Cut-off date for this reconciliation
cashbook,reconciliations,table,statement_balance,4,"numeric(19,2)",NO,"Bank statement balance at the reconciliation date. Precision 19,2"
cashbook,reconciliations,table,book_balance,5,"numeric(19,2)",NO,"GL book balance at the reconciliation date. Precision 19,2"
cashbook,reconciliations,table,difference,6,"numeric(19,2)",NO,"Unresolved difference (statement_balance - book_balance). Precision 19,2"
cashbook,reconciliations,table,status,7,character varying(30),NO,"Reconciliation state (In Progress, Completed, Approved). Default: In Progress"
cashbook,reconciliations,table,matched_count,8,integer,NO,Number of statement lines matched in this reconciliation
cashbook,reconciliations,table,unmatched_count,9,integer,NO,Number of statement lines still unmatched
cashbook,reconciliations,table,approved_by,10,uuid,YES,User who approved the completed reconciliation → core.users.id
